excluded_case_index,fit_succeeded,singular,contrast,scale,estimate,standard_error,conf_low,conf_high,z_ratio,p_value,p_value_holm,full_estimate,change_from_full_estimate
19,TRUE,FALSE,Thematic vs Control,probability,0.1280450650733651,0.05985922004659336,0.01072314963938413,0.24536698050734607,2.1391034659939954,0.032427289775477035,0.032427289775477035,0.13245039693265348,-0.004405331859288375
20,TRUE,FALSE,Grounding vs Control,log_odds,1.5412777911124151,0.26813991797043973,1.0157332090728288,2.0668223731520015,5.748035588204844,9.028623876463572e-9,2.7085871629390714e-8,1.546483993463893,-0.00520620235147784
20,TRUE,FALSE,Grounding vs Thematic,log_odds,0.9859916891591906,0.2685727267030988,0.4595988175913982,1.512384560726983,3.671227906358424,2.4138796970264034e-4,4.827759394052807e-4,0.987969539535548,-0.0019778503763574484
20,TRUE,FALSE,Thematic vs Control,log_odds,0.5552861019532246,0.250498779036247,0.06431751687092346,1.0462546870355256,2.2167217903799643,0.026642108798948544,0.026642108798948544,0.5585144539283451,-0.0032283519751205025
20,TRUE,FALSE,Grounding vs Control,probability,0.30333791226488616,0.0599633853185818,0.185811836649368,0.4208639878804043,5.058718927446647,4.2208247004149026e-7,1.2662474101244707e-6,0.3042312530924953,-8.933408276091681e-4
20,TRUE,FALSE,Grounding vs Thematic,probability,0.17166691025422565,0.0574533172979039,0.05906047755798194,0.28427334295046935,2.98793730854752,0.002808671603373503,0.005617343206747006,0.17178085615984195,-1.1394590561630835e-4
20,TRUE,FALSE,Thematic vs Control,probability,0.13167100201066062,0.059944263268945544,0.014182404923740136,0.24915959909758112,2.1965571821261087,0.028052087062663447,0.028052087062663447,0.13245039693265348,-7.793949219928598e-4
21,TRUE,FALSE,Grounding vs Control,log_odds,1.5457138383719935,0.26855540051407023,1.0193549255106864,2.072072751233301,5.7556609750285395,8.630343612090916e-9,2.589103083627275e-8,1.546483993463893,-7.701550918994826e-4
21,TRUE,FALSE,Grounding vs Thematic,log_odds,0.9886133284304416,0.2689660808076085,0.4614494969846392,1.515777159876244,3.675605955449814,2.372855328863377e-4,4.745710657726754e-4,0.987969539535548,6.437888948935822e-4
21,TRUE,FALSE,Thematic vs Control,log_odds,0.5571005099415519,0.25090272706210875,0.06534020127693568,1.048860818606168,2.2203844352941076,0.02639268269322642,0.02639268269322642,0.5585144539283451,-0.0014139439867931758
21,TRUE,FALSE,Grounding vs Control,probability,0.3038330300487061,0.06023674790851676,0.18577117360219486,0.42189488649521734,5.0439813004205645,4.559438780799674e-7,1.3678316342399022e-6,0.3042312530924953,-3.9822304378922535e-4
