repetition,fit_succeeded,singular,contrast,estimate,scale
31,TRUE,FALSE,Thematic vs Control,0.08326464713722931,probability
32,TRUE,FALSE,Grounding vs Control,1.6112913595095866,log_odds
32,TRUE,FALSE,Grounding vs Thematic,0.8909840752248026,log_odds
32,TRUE,FALSE,Thematic vs Control,0.720307284284784,log_odds
32,TRUE,FALSE,Grounding vs Control,0.3224450701107362,probability
32,TRUE,FALSE,Grounding vs Thematic,0.14781137979065978,probability
32,TRUE,FALSE,Thematic vs Control,0.17463369032007642,probability
33,TRUE,FALSE,Grounding vs Control,2.1855565154002936,log_odds
33,TRUE,FALSE,Grounding vs Thematic,1.6616101157159733,log_odds
33,TRUE,FALSE,Thematic vs Control,0.5239463996843202,log_odds
33,TRUE,FALSE,Grounding vs Control,0.3715607527468518,probability
33,TRUE,FALSE,Grounding vs Thematic,0.24779660534941966,probability
33,TRUE,FALSE,Thematic vs Control,0.12376414739743213,probability
34,TRUE,FALSE,Grounding vs Control,1.3893454285637223,log_odds
34,TRUE,FALSE,Grounding vs Thematic,0.3736768907618546,log_odds
34,TRUE,FALSE,Thematic vs Control,1.0156685378018677,log_odds
34,TRUE,FALSE,Grounding vs Control,0.24848792493981942,probability
34,TRUE,FALSE,Grounding vs Thematic,0.026057333898595603,probability
34,TRUE,FALSE,Thematic vs Control,0.2224305910412238,probability
35,TRUE,FALSE,Grounding vs Control,1.6937358960759803,log_odds
35,TRUE,FALSE,Grounding vs Thematic,1.113768847461229,log_odds
35,TRUE,FALSE,Thematic vs Control,0.5799670486147511,log_odds
35,TRUE,FALSE,Grounding vs Control,0.35524562423929856,probability
35,TRUE,FALSE,Grounding vs Thematic,0.21540272440851477,probability
35,TRUE,FALSE,Thematic vs Control,0.1398428998307838,probability
36,TRUE,FALSE,Grounding vs Control,0.8512796586936396,log_odds
36,TRUE,FALSE,Grounding vs Thematic,0.8141128435697363,log_odds
36,TRUE,FALSE,Thematic vs Control,0.037166815123903296,log_odds
36,TRUE,FALSE,Grounding vs Control,0.13918959184208268,probability
36,TRUE,FALSE,Grounding vs Thematic,0.13164757805053784,probability
36,TRUE,FALSE,Thematic vs Control,0.007542013791544844,probability
37,TRUE,FALSE,Grounding vs Control,1.890477057139832,log_odds
37,TRUE,FALSE,Grounding vs Thematic,1.332505108807421,log_odds
37,TRUE,FALSE,Thematic vs Control,0.557971948332411,log_odds
37,TRUE,FALSE,Grounding vs Control,0.34569877204250804,probability
37,TRUE,FALSE,Grounding vs Thematic,0.21070060801912327,probability
37,TRUE,FALSE,Thematic vs Control,0.13499816402338477,probability
38,TRUE,FALSE,Grounding vs Control,1.5025072932151649,log_odds
38,TRUE,FALSE,Grounding vs Thematic,0.8383794084409575,log_odds
38,TRUE,FALSE,Thematic vs Control,0.6641278847742074,log_odds
38,TRUE,FALSE,Grounding vs Control,0.28912989392162225,probability
38,TRUE,FALSE,Grounding vs Thematic,0.12940268168587904,probability
38,TRUE,FALSE,Thematic vs Control,0.1597272122357432,probability
39,TRUE,FALSE,Grounding vs Control,1.2525810786372724,log_odds
39,TRUE,FALSE,Grounding vs Thematic,0.8252785971949259,log_odds
39,TRUE,FALSE,Thematic vs Control,0.4273024814423465,log_odds
39,TRUE,FALSE,Grounding vs Control,0.22402676734253169,probability
39,TRUE,FALSE,Grounding vs Thematic,0.12808914579380448,probability
39,TRUE,FALSE,Thematic vs Control,0.0959376215487272,probability
40,TRUE,FALSE,Grounding vs Control,1.1958327478212842,log_odds
40,TRUE,FALSE,Grounding vs Thematic,0.696296916472356,log_odds
40,TRUE,FALSE,Thematic vs Control,0.4995358313489281,log_odds
40,TRUE,FALSE,Grounding vs Control,0.24783287332681408,probability
40,TRUE,FALSE,Grounding vs Thematic,0.14102358532171894,probability
40,TRUE,FALSE,Thematic vs Control,0.10680928800509515,probability
41,TRUE,FALSE,Grounding vs Control,2.0857911122812465,log_odds
41,TRUE,FALSE,Grounding vs Thematic,1.3569969408153892,log_odds
41,TRUE,FALSE,Thematic vs Control,0.7287941714658573,log_odds
41,TRUE,FALSE,Grounding vs Control,0.37628742674161575,probability
41,TRUE,FALSE,Grounding vs Thematic,0.20819304970658709,probability
